temperature,energy,error
1,-3.134428188943333,1.395152973848894e-06
2,-3.134169702173333,2.1660882878560537e-06
3,-3.13390878417,3.96926713686653e-06
4,-3.13364820062,5.450598046210977e-06
5,-3.133388242323334,7.421472603487838e-06
6,-3.133128050873333,9.089246613602888e-06
7,-3.1328696914666665,9.457992389238947e-06
8,-3.132610915886667,1.0268564264284568e-05
9,-3.1323533020866665,8.79062035045762e-06
10,-3.1320869319333338,1.4914870094714189e-05
11,-3.1318339828333333,1.4002075028204043e-05
12,-3.1315731264700006,1.3952526137273582e-05
13,-3.1313073411300003,1.928912420858346e-05
14,-3.131054613976666,1.542284489297893e-05
15,-3.1307935507700004,2.052917872733481e-05
16,-3.130525352863333,2.486359372273947e-05
17,-3.1302624917999995,2.9548419458861104e-05
18,-3.130009320443333,2.4224488698505068e-05
19,-3.129759396996666,1.8566529112309445e-05
20,-3.1295017136966665,1.9392886627723337e-05
21,-3.12924163036,1.887498135814424e-05
22,-3.1289884116799995,1.9311102302400284e-05
23,-3.12871280591,2.6725820693867864e-05
24,-3.1284503004733333,2.734940507395985e-05
25,-3.1281878514300003,3.430166940190195e-05
26,-3.127942205466667,2.4693931052640745e-05
27,-3.12766817994,3.302936420432167e-05
28,-3.12739903396,3.87849023675276e-05
29,-3.127149082206667,3.306267123629824e-05
30,-3.1269015378533327,2.8630341768778245e-05
31,-3.126646995286667,2.926150619739928e-05
32,-3.126367897716666,4.15839634467684e-05
33,-3.12611396258,3.3896151991435024e-05
34,-3.1258523040433337,4.067332104602555e-05
35,-3.1256070695166667,3.184390512437272e-05
36,-3.125333891383333,4.0305705868718525e-05
37,-3.12505412528,5.4147697624846415e-05
38,-3.12482088612,3.924613765443496e-05
39,-3.124535879143333,6.402476642032341e-05
40,-3.124285657736667,5.000610817203644e-05
41,-3.12403427691,5.010355185512457e-05
42,-3.1237914807733334,3.973592295578957e-05
43,-3.1235089254933333,5.2955172112510825e-05
44,-3.1232628913866667,3.970615887872065e-05
45,-3.122988967756667,5.250775646851839e-05
46,-3.12275088322,3.84060785644947e-05
47,-3.12248737445,3.902834789970619e-05
48,-3.122207452376667,6.08877086022346e-05
49,-3.1219286177333334,6.697087252559125e-05
50,-3.121708316723333,4.1449830931011296e-05
51,-3.121443264746667,4.86439538414132e-05
52,-3.121165492733333,6.859273530794188e-05
53,-3.120920420963333,4.717879783472643e-05
54,-3.120659040473333,6.756369923161924e-05
55,-3.1203341407800003,9.35479100969812e-05
56,-3.120121107816666,7.202935564258752e-05
57,-3.119898861026667,3.762718103127608e-05
58,-3.119630216406667,4.124228539364545e-05
59,-3.1193373216266664,7.267092774066212e-05
60,-3.1190668368433334,7.930597779311517e-05
61,-3.118841514163333,5.847557193558997e-05
62,-3.1185634041,7.265190861750386e-05
63,-3.118278361376667,8.402959385079481e-05
64,-3.118032793813333,7.774603995991577e-05
65,-3.11777055487,6.844429629908864e-05
66,-3.1175209033933338,8.002638409071013e-05
67,-3.11726028216,8.104143228568281e-05
68,-3.117010431283333,7.742128665912862e-05
69,-3.1167235458966664,8.715998526326663e-05
70,-3.1165106080900005,5.277077308773949e-05
71,-3.11623134086,7.019465122368457e-05
72,-3.11594057787,8.860950472890914e-05
73,-3.115721365113333,6.096558837301013e-05
74,-3.11547086888,4.9148889390741126e-05
75,-3.115171707063334,9.501381949603384e-05
76,-3.11495278441,5.219278067441887e-05
77,-3.11468247147,6.74554178678883e-05
78,-3.114403561269999,6.167953151417718e-05
79,-3.114139300933333,7.084381153717177e-05
80,-3.113916552906667,5.182846512447121e-05
81,-3.11359340436,0.0001124977356578
82,-3.113374824883333,7.613232632849519e-05
83,-3.113132350283333,4.546915027797559e-05
84,-3.11284349283,8.180145599324086e-05
85,-3.112535086336667,0.0001134645226799
86,-3.1122836530666667,0.0001003855101784
87,-3.11203309425,0.0001006181751212
88,-3.11176763089,8.239510965892907e-05
89,-3.11148993398,0.0001100433080535
90,-3.111233224713333,0.0001034223762157
91,-3.110960930866667,0.0001160429138231
92,-3.110765027443333,7.241773458941616e-05
93,-3.110449826663334,9.74801547764265e-05
94,-3.110273369336667,4.76426756160248e-05
95,-3.109912697206667,0.0001166932534904
96,-3.109692987656667,7.869103746048042e-05
97,-3.1094226079633334,0.0001053649960626
98,-3.109187654093333,8.144426571138202e-05
99,-3.108921594646666,0.0001011307178774
100,-3.108649225693333,7.68819391554033e-05
101,-3.1084322552,4.328690122334178e-05
102,-3.1081822226600004,4.248579227103149e-05
103,-3.1079168436733338,5.321606226779436e-05
104,-3.1076030107766672,7.35307612807603e-05
105,-3.10735000393,8.42114077408566e-05
106,-3.1071371775100003,4.860061738927747e-05
107,-3.106823545413333,0.000113098014208
108,-3.1066075908433333,4.364474082154566e-05
109,-3.1063286428300003,6.655297282705692e-05
110,-3.10605996439,8.696691073978985e-05
111,-3.105804895996666,6.119899129158778e-05
112,-3.1055818097400003,5.300982132569981e-05
113,-3.105225694913333,0.000118811117004
114,-3.10500694397,8.462729262168733e-05
115,-3.104760378866667,5.834395630381193e-05
116,-3.104522729333333,4.8891131287650303e-05
117,-3.1042608354900003,5.2739039956496144e-05
118,-3.1039309257233336,0.0001049510841184
119,-3.103730351936666,7.004638267661613e-05
120,-3.10344660135,7.524874516379008e-05
121,-3.1032039899833337,6.120779971605043e-05
122,-3.1029324082333334,7.199825773687027e-05
123,-3.102647799666667,0.0001076437364141
124,-3.1023676083766665,9.565863394090736e-05
125,-3.1020933353466664,0.000129671985604
126,-3.101878956606667,6.649670662900953e-05
127,-3.101587491623333,0.0001093028282375
128,-3.1013596527366665,8.60396923535817e-05
129,-3.1010940489566665,6.517680174229292e-05
130,-3.10085732906,7.286091143840587e-05
131,-3.10058686876,6.462037212995897e-05
132,-3.10020278929,0.0001606157067335
133,-3.10005844361,8.71613989649193e-05
134,-3.099730779373333,0.0001080996913494
135,-3.0995040732500003,0.0001021100285602
136,-3.09924381834,9.884564364546876e-05
137,-3.098900882276667,0.00015673879674
138,-3.098697030966667,0.0001354768363443
139,-3.098443069123334,0.0001102564067969
140,-3.098153456516666,0.0001242799350073
141,-3.0959733620066667,2.8671902755584612e-05
142,-3.0976574464733333,9.805135162202472e-05
143,-3.097375798503333,0.0001272502971348
144,-3.09717615075,9.037895869421604e-05
145,-3.0969216580266665,6.720865530945373e-05
146,-3.09661833041,8.717163684682478e-05
147,-3.096365296606667,7.863430075906595e-05
148,-3.096106515786667,0.0001302778835497
149,-3.0958373925833333,8.385740717493092e-05
150,-3.0955436397033336,9.986435242221593e-05
151,-3.095240320806667,0.00015797290052
152,-3.09503446073,0.000101827616085
153,-3.0947349130133337,0.0001672563087825
154,-3.094523113083333,7.724724402793706e-05
155,-3.094215176253333,0.0001493366735834
156,-3.0939686868433336,0.0001336455397234
157,-3.093662720213333,0.0001432771382714
158,-3.0934793362166664,9.822793681005186e-05
159,-3.0931190586,0.0001558652316749
160,-3.092940041136667,0.0001165480958
161,-3.092615653,0.0001203064425758
162,-3.0924080591100003,8.155215238660024e-05
163,-3.092085716793333,0.0001500042211449
164,-3.091836927303333,0.0001560526813602
165,-3.0915841423100003,0.0001166577411285
166,-3.0913073464800003,0.0001668823828327
167,-3.0911138170666663,0.0001040426980663
168,-3.0908032601533333,0.0001406149645926
169,-3.090592123096666,7.696565721636029e-05
170,-3.09021165268,0.0002130065121348
171,-3.0900680810766668,8.680008279342469e-05
172,-3.0897794875300004,8.492929282830052e-05
173,-3.089497062196667,0.0001462665816997
174,-3.0892450607,0.0001432906778748
175,-3.0889987509066668,9.682762741069732e-05
176,-3.088657662546667,0.0001647674432415
177,-3.0885088098700004,6.808474260539483e-05
178,-3.0881321189599995,0.0001875834702542
179,-3.0878346069266667,0.0002001012803626
180,-3.08771214184,9.25870985719252e-05
181,-3.0852326861166666,4.041674636765509e-05
182,-3.0870959888033336,0.0001214012220331
183,-3.08685179648,9.873387717221124e-05
184,-3.0865434892400003,0.0001687996754651
185,-3.086359546123334,0.000113779793633
186,-3.086036787296667,0.000175287603673
187,-3.0830899511633336,4.204736016555268e-05
188,-3.08558507324,5.617687100339674e-05
189,-3.0853227760633333,4.45997533542766e-05
190,-3.085022279473333,0.0001102380328868
191,-3.08478104266,7.359268399436887e-05
192,-3.0845639729966665,0.000105127936005
193,-3.08427924002,7.12538121641087e-05
194,-3.083984793206666,0.0001575448822281
195,-3.0837266832666668,7.80542697299662e-05
196,-3.08339107941,0.0001456667168723
197,-3.083172135706667,0.0001273465961451
198,-3.08289990071,0.0001234438200903
199,-3.08262068667,0.0001578802929907
200,-3.0824042590766667,0.0001249446709437
201,-3.08202766811,0.0001994083985494
202,-3.08183127613,0.0001432264615822
203,-3.081585877193333,8.497681442778531e-05
204,-3.0813396479066664,0.0001036964640385
205,-3.0810544771733337,0.000131057716822
206,-3.0808102513300004,8.517982749247398e-05
207,-3.080543579763334,0.0001776557783053
208,-3.0802795550599997,0.0001772928680443
209,-3.0799974614366668,0.0001682592615483
210,-3.0797007754400005,0.0001548305394801
211,-3.07952703243,8.175184407513526e-05
212,-3.0773804856866667,4.866602145664599e-05
213,-3.07900392666,6.320270620066265e-05
214,-3.07872073827,0.0001140923690323
215,-3.0783873662633336,0.0002053047581813
216,-3.0781494323633334,9.474462147289309e-05
217,-3.07776091325,0.0001914095867122
218,-3.077452655893333,0.0002699953339849
219,-3.0774091899233333,7.172801610350422e-05
220,-3.0771079112966677,0.0001433893896102
221,-3.076833667443333,9.582961159736682e-05
222,-3.07656261876,0.0001602090867081
223,-3.0762637314466663,0.0001654480977269
224,-3.076027520133333,0.0001677369070349
225,-3.075651684103333,0.0002588665984526
226,-3.075434367413333,0.0002145032197588
227,-3.075238464796666,0.0002003167759836
228,-3.0750102846933336,5.439496385051622e-05
229,-3.0747594571033336,9.373533003482709e-05
230,-3.074443362086667,0.0001573028744083
231,-3.0740951426533334,0.0002237003938731
232,-3.0739272793866665,9.468757119891209e-05
233,-3.073720097273334,5.78467162499357e-05
234,-3.0734474256,7.93703350441622e-05
235,-3.0714457213833337,6.821958615264463e-05
236,-3.072817833383333,0.0001592719714762
237,-3.072578485456667,0.0001866921417137
238,-3.070468916743333,7.127054547084747e-05
239,-3.0721068548699995,4.5886740350330427e-05
240,-3.071785757646667,0.0001558656831873
241,-3.07147765912,0.0002200565747879
242,-3.07115975637,0.0001473843203962
243,-3.070967618923333,0.0001034512364238
244,-3.070753793523333,5.220058292816431e-05
245,-3.0704234941233337,0.0002128032668551
246,-3.07019333999,0.0001475109289882
247,-3.0698443418000005,0.0001805160049623
248,-3.06743320383,7.237222392955222e-05
249,-3.069422294736666,0.0001128529128603
250,-3.0662695249966667,5.0769219090316345e-05
251,-3.06892738595,9.341835930551676e-05
252,-3.068236028496667,6.653185019858198e-05
253,-3.0683754907933336,6.608250921832488e-05
254,-3.0679963356766664,0.0002252556526186
255,-3.067745436513334,0.0001537425921006
256,-3.067561239533333,9.69225887742331e-05
257,-3.067274116196667,0.0001210146269331
258,-3.06687843317,0.0002568864914728
259,-3.064544799053333,5.5083729032361946e-05
260,-3.06439387204,5.987773256051781e-05
261,-3.066187331483333,0.0001241735753057
262,-3.06596864344,0.000126535089274
263,-3.06375253685,0.0001068987323802
264,-3.0653919684866677,0.000185333584089
265,-3.06160030992,5.759627856288354e-05
266,-3.0647860224533336,0.0001922171066217
267,-3.0646338777700004,0.0001392544390458
268,-3.0643807411633337,0.0001212501172253
269,-3.061012226796666,5.286221878340671e-05
270,-3.06380560001,0.0001311925842463
271,-3.0635076120733333,0.0001759409878321
272,-3.0631844246666664,0.0002292766290027
273,-3.060551996956667,6.31673568398096e-05
274,-3.0626924788766665,0.0002007965042478
275,-3.059486034533333,6.153600503057662e-05
276,-3.06219518474,0.0001450063411316
277,-3.06197586592,5.679230907854548e-05
278,-3.061590919526667,0.0001913394718945
279,-3.06135656561,0.0002483663783712
280,-3.0611414650433337,0.000161310203822
281,-3.060832455143333,0.0002370150554505
282,-3.058620507973333,5.525804509016715e-05
283,-3.0578825391499995,5.679783565730183e-05
284,-3.0600748345400004,0.0001155880675727
285,-3.0598266629399995,0.0001000658187637
286,-3.0595109142266663,0.0002015107891686
287,-3.05925571539,0.0001396464258416
288,-3.0590572377533336,6.281827263464826e-05
289,-3.0587997139633334,8.14610929468675e-05
290,-3.058478191326666,0.0001255444337753
291,-3.055746340253333,5.6026133859400623e-05
292,-3.057243157983333,0.0005834498620662
293,-3.052718581943333,6.204039213094703e-05
294,-3.051790400936666,0.0001076671301031
295,-3.048468196466667,5.9361281397520346e-05
296,-3.05453419891,5.517614021316341e-05
297,-3.054755700413333,6.417744686093881e-05
298,-3.05288746735,6.081083153790399e-05
299,-3.05607511424,0.0001045353774163
300,-3.055229273913333,0.000485216392971
